ak,al,ar,az,ca,co,ct,dc,de,fl,ga,hi,ia,id,il,in,ks,ky,la,ma,md,me,mi,mn,mo,ms,mt,nc,nd,ne,nh,nj,nm,nv,ny,oh,ok,or,pa,pr,ri,sc,sd,tn,tx,ut,va,vt,wa,wi,wv,wy
0.0,58.0,20.0,135.0,461.0,80.0,129.0,23.0,32.0,250.0,136.0,0.0,70.0,1.0,514.0,155.0,19.0,38.0,140.0,470.0,353.0,10.0,402.0,145.0,36.0,83.0,1.0,119.0,13.0,20.0,41.0,477.0,40.0,25.0,518.0,226.0,15.0,11.0,406.0,6.0,52.0,52.0,5.0,50.0,157.0,13.0,95.0,0.0,41.0,54.0,11.0,2.0
2.0,81.0,26.0,141.0,450.0,74.0,129.0,26.0,24.0,231.0,271.0,0.0,48.0,3.0,404.0,119.0,11.0,29.0,76.0,308.0,186.0,1.0,121.0,113.0,70.0,74.0,1.0,115.0,2.0,29.0,34.0,451.0,39.0,9.0,426.0,180.0,11.0,12.0,272.0,5.0,73.0,53.0,10.0,53.0,148.0,18.0,76.0,0.0,57.0,46.0,4.0,1.0
0.0,71.0,46.0,153.0,425.0,48.0,60.0,18.0,13.0,230.0,187.0,0.0,35.0,3.0,339.0,110.0,19.0,28.0,91.0,231.0,132.0,2.0,75.0,84.0,79.0,47.0,1.0,111.0,3.0,28.0,19.0,246.0,34.0,24.0,310.0,143.0,10.0,14.0,209.0,2.0,49.0,53.0,6.0,51.0,204.0,19.0,68.0,1.0,52.0,51.0,1.0,2.0
0.0,80.0,39.0,249.0,423.0,28.0,56.0,17.0,72.0,258.0,147.0,1.0,19.0,2.0,241.0,77.0,7.0,32.0,96.0,205.0,105.0,2.0,68.0,45.0,40.0,101.0,2.0,102.0,2.0,23.0,28.0,2105.0,23.0,13.0,248.0,107.0,16.0,13.0,183.0,4.0,33.0,60.0,10.0,59.0,215.0,9.0,124.0,0.0,42.0,34.0,4.0,0.0
2.0,88.0,23.0,221.0,406.0,27.0,19.0,9.0,5.0,312.0,82.0,1.0,17.0,1.0,132.0,67.0,6.0,27.0,95.0,164.0,75.0,5.0,61.0,46.0,35.0,73.0,1.0,81.0,1.0,17.0,14.0,236.0,21.0,34.0,759.0,104.0,13.0,10.0,147.0,2.0,33.0,102.0,6.0,62.0,244.0,16.0,121.0,0.0,49.0,19.0,2.0,0.0
3.0,114.0,34.0,428.0,713.0,29.0,13.0,9.0,5.0,511.0,139.0,0.0,28.0,10.0,167.0,73.0,19.0,40.0,128.0,142.0,86.0,5.0,96.0,31.0,47.0,137.0,6.0,107.0,7.0,3.0,10.0,330.0,32.0,59.0,133.0,147.0,24.0,21.0,151.0,12.0,16.0,136.0,12.0,92.0,555.0,32.0,115.0,0.0,79.0,25.0,1.0,1.0
1.0,166.0,36.0,524.0,664.0,27.0,48.0,11.0,8.0,740.0,173.0,5.0,43.0,17.0,108.0,62.0,15.0,45.0,125.0,106.0,105.0,3.0,52.0,39.0,61.0,107.0,8.0,131.0,5.0,17.0,7.0,165.0,26.0,54.0,158.0,116.0,29.0,26.0,111.0,11.0,14.0,188.0,9.0,103.0,766.0,28.0,59.0,0.0,48.0,24.0,4.0,3.0
2.0,186.0,44.0,544.0,737.0,42.0,17.0,3.0,56.0,872.0,325.0,2.0,34.0,27.0,103.0,77.0,21.0,30.0,218.0,98.0,62.0,2.0,34.0,13.0,69.0,139.0,9.0,151.0,7.0,17.0,11.0,111.0,43.0,87.0,117.0,133.0,45.0,29.0,103.0,23.0,7.0,298.0,5.0,133.0,1080.0,32.0,55.0,0.0,55.0,48.0,3.0,1.0
4.0,154.0,60.0,461.0,943.0,50.0,19.0,4.0,6.0,1230.0,342.0,0.0,48.0,50.0,119.0,69.0,32.0,42.0,242.0,109.0,77.0,4.0,57.0,110.0,56.0,208.0,15.0,184.0,6.0,16.0,8.0,76.0,40.0,98.0,100.0,222.0,54.0,37.0,91.0,29.0,16.0,273.0,12.0,106.0,1797.0,36.0,136.0,1.0,94.0,56.0,14.0,1.0
2.0,141.0,83.0,385.0,980.0,14.0,9.0,5.0,6.0,1102.0,359.0,5.0,56.0,41.0,119.0,60.0,19.0,31.0,252.0,97.0,66.0,3.0,67.0,42.0,54.0,193.0,14.0,199.0,7.0,13.0,2.0,42.0,32.0,125.0,55.0,140.0,53.0,30.0,105.0,49.0,5.0,322.0,11.0,150.0,1622.0,25.0,108.0,1.0,94.0,50.0,22.0,2.0
