"ConditionName","ConditionSNOMED","PathogenName","PathogenTaxonID","Fatalities","CountryName","CountryISO","Admin1Name","Admin1ISO","Admin2Name","CityName","PeriodStartDate","PeriodEndDate","PartOfCumulativeCountSeries","AgeRange","Subpopulation","PlaceOfAcquisition","DiagnosisCertainty","SourceName","CountValue"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ACRE","BR-AC","NA","NA","2001-05-01","2001-05-31","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","34"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ACRE","BR-AC","NA","NA","2001-06-01","2001-06-30","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","49"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ACRE","BR-AC","NA","NA","2001-07-01","2001-07-31","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","18"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ACRE","BR-AC","NA","NA","2001-08-01","2001-08-31","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","13"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ACRE","BR-AC","NA","NA","2001-09-01","2001-09-30","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","5"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ACRE","BR-AC","NA","NA","2001-11-01","2001-11-30","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","176"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ACRE","BR-AC","NA","NA","2001-12-01","2001-12-31","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","51"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ACRE","BR-AC","NA","NA","2002-01-01","2002-01-31","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","81"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ACRE","BR-AC","NA","NA","2002-03-01","2002-03-31","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","336"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ACRE","BR-AC","NA","NA","2002-04-01","2002-04-30","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","115"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ACRE","BR-AC","NA","NA","2002-05-01","2002-05-31","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","50"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ACRE","BR-AC","NA","NA","2002-06-01","2002-06-30","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","19"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ACRE","BR-AC","NA","NA","2002-07-01","2002-07-31","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","28"
